Bee species	Plant genus	Plant species	Plant family	Females	Males
Amegilla (Asaropoda) bombiformis					
	Lantana	camara	Verbenaceae	2	
	Angophora	hispida	Myrtaceae		2
Amegilla (Asaropoda) dentiventris					
	Corymbia	terminalis	Myrtaceae		1
	Melaleuca		Myrtaceae		1
Amegilla (Asaropoda) scymna					
	Eremophila	longifolia	Scrophulariaceae	1	
	Eremophila	maculata	Scrophulariaceae	1	1
	Petalostylis	labicheoides	Fabaceae	1	
Amegilla (Notomegilla) aeruginosa					
	Lantana	camara	Verbenaceae	1	
			Fabaceae		1
	Trichodesma	zeylanicum	Boraginaceae		1
	Calytrix	exstipulata	Myrtaceae	1	2
Amegilla (Notomegilla) chlorocyanea					
	Bursaria	spinosa	Pittosporaceae	1	
	Calytrix	exstipulata	Myrtaceae		1
	Echium	plantagineum	Boraginaceae	3	
	Eremophila	youngii	Scrophulariaceae	1	1
	Hakea		Proteaceae	1	
	Petalostylis	labicheoides	Fabaceae	1	
	Scaevola	depauperata	Goodeniaceae		1
	Senna		Fabaceae	1	
	Sesbania	benthamiana	Fabaceae	1	
	Trichodesma	zeylanicum	Boraginaceae	1	
	Verbena		Verbenaceae		3
Amegilla (Zonamegilla) adelaidae					
	Sesbania	benthamiana	Fabaceae	1	
	Stachytarpheta		Verbenaceae	1	1
	Trichodesma	zeylanicum	Boraginaceae		2
Amegilla (Zonamegilla) asserta					
	Angophora	floribunda	Myrtaceae	1	1
	Angophora	hispida	Myrtaceae		1
	Echium	plantagineum	Boraginaceae	1	
	Goodenia	macbarronii	Goodeniaceae	1	1
	Oreganum		Lamiaceae	1	
	Persoonia	linearis	Proteaceae	1	
	Persoonia	nutans	Proteaceae	1	
Amegilla (Zonamegilla) cingulata					
	Duranta	repens	Verbenaceae	1	
	Mimosa	pudica	Fabaceae	1	
	Stachytarpheta		Verbenaceae	2	2
Amegilla (Zonamegilla) murrayensis					
	Geranium		Geraniaceae		1
Amegilla (Zonamegilla) pulchra					
	Grevillea	buxifolia	Proteaceae		1
	Lambertia	formosa	Proteaceae		1
	Stylidium		Stylidiaceae		1
Amegilla (Zonamegilla) asserta					
	Stachytarpheta		Verbenaceae	1	
Austroplebeia australis					
	Acacia	cana	Fabaceae	3	
	Acacia		Fabaceae	1	
			Asteraceae	2	
	Calotis	erinacea	Asteraceae	1	
	Calytrix	exstipulata	Myrtaceae	1	
	Cleome	viscosa	Cleomaceae	2	
